post_id,post_title,post_author,post_content,post_category,post_tags,post_type,post_status,post_address,post_city,post_region,post_country,post_zip,post_latitude,post_longitude,Image,teachers
,Key West Yoga Sanctuary,1,The Key West Yoga Sanctuary is truly a Sanctuary! We are dedicated to practicing and teaching attention and consciousness on and off the mat. We have various styles of yoga and encourage each student to find the practice that most deeply supports constant change and growth.,"Alignment, Ashtanga, Core Strength, Flow, Hatha, Restorative, Thai, Yoga Massage, Vinyasa",,gd_yoga_studio,publish,1130 Duval St,Key West,FL,United States,33040,24.5494368988055,-81.7983197415179,http://www.yogatrail.com/sites/default/files/styles/profiles/public/studio/117753/key-west-yoga-sanctuary.jpg?itok=ikeUtLtG,"<ul class=""aside""><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/celine-peccatte-117750""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/teacher/117750/celine-peccatte.jpg?itok=P9dXNsCM"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/celine-peccatte-117750"">celine peccatte</a></strong><div class=""stars""><span class=""average"" style=""width: 100%;"">Average: 5.0</span><span class=""all-stars""> of 5 stars</span></div><p class=""count""><strong>2</strong> <a href=""/teacher/celine-peccatte-117750/reviews"">Reviews</a></p> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/anne-walters-118018""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/teacher/118018/anne-walters.jpg?itok=AiC_oXfm"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/anne-walters-118018"">Anne Walters</a></strong> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/natalia-duke-161403""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/teacher/161403/natalia-duke.jpg?itok=Bxy2iFQC"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/natalia-duke-161403"">Natalia Duke</a></strong> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/lisa-esposito-236308""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/teacher/236308/lisa-esposito.jpg?itok=AgQs3mub"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/lisa-esposito-236308"">lisa esposito</a></strong> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/peter-george-rogers-311216""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/Member/348504/peter-rogers.jpg?itok=Xdwji2gB"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/peter-george-rogers-311216"">Peter George Rogers</a></strong> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/gretchen-mills-161344""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/avatars/teachers_2.jpg?itok=WGpQ44ZP"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/gretchen-mills-161344"">Gretchen Mills</a></strong> </div> </li></ul>"
,The Pilates Preserve,1,Pilates and Yoga studio offering exceptional instruction in a small intimate setting - Tower Pilates Mat Pilates Yoga classes daily. Private and Semi-Private Pilates and Yoga available.,"Alignment, Ashtanga, Core Strength, Family, Flow, Hatha, Iyengar Men's, Vinyasa, WoMen's, Yin",,gd_yoga_studio,publish,4400 North Federal Hwy Suite #106,Boca Raton,FL,United States,33431,26.3930357923497,-80.0805546448087,http://www.yogatrail.com/sites/default/files/styles/profiles/public/studio/243411/the-pilates-preserve.png?itok=XzD4T6tP,"<ul class=""aside""><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/michele-cutler-85599""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/teacher/85599/michele-cutler.jpg?itok=5PBaSXKM"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/michele-cutler-85599"">Michele Cutler</a></strong> </div> </li></ul>"
,Daytona International Wellness Center,1,"At the Daytona International Wellness Center our intention is to create a sacred space to share & teach tools that help you in your journey to create harmony awareness & connectedness. We offer yoga Meditation, energy medicine sound healing bodywork & much more.",,,gd_yoga_studio,publish,211 E. International Speedway Blvd,Daytona Beach,FL,United States,32118,29.2204,-81.0112,http://www.yogatrail.com/sites/default/files/styles/profiles/public/avatars/studios_1.jpg?itok=jDJmtEjP,"<ul class=""aside""><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/faye-crow-162011""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/teacher/162011/faye-crow.jpg?itok=rilebVYk"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/faye-crow-162011"">Faye Crow</a></strong> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/jen-sayers-206124""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/teacher/206124/jen-sayers.jpg?itok=bf9_VDjQ"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/jen-sayers-206124"">Jen Sayers</a></strong> </div> </li></ul>"
,Yoga Arts,1,"Yoga Arts is a full service yoga studio located in the funky Village of the Arts in Bradenton Florida. We specialize in Alignment, based Yoga Yoga Therapy and Yoga for Athletes. Class and Private Sessions are Available.","Alignment, Core Strength, Gentle, Hatha, Meditation, Restorative, Vinyasa",,gd_yoga_studio,publish,1122 12th St. W.,Bradenton,FL,United States,34205,27.4897979591837,-82.5734,http://www.yogatrail.com/sites/default/files/styles/profiles/public/studio/101087/yoga-arts.jpg?itok=7aknO7dx,"<ul class=""aside""><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/preston-whaley-jr-115160""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/avatars/teachers_1.jpg?itok=DJUCQPPQ"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/preston-whaley-jr-115160"">Preston Whaley Jr.</a></strong> </div> </li></ul>"
,Shakti Yoga Key West,1,"Shakti Yoga is committed to offering you sound wise instruction in a context which honors the ancient traditions of Hatha, Yoga. Our classes are nurturing safe and noncompetitive with an emphasis on lightness and laughter when appropriate. We look forward to sharing the joy and benefits of yoga with you.","Alignment, Family, Flow, Gentle, Hatha, Meditation, Power, Restorative, Senior, Special Needs, Vinyasa",,gd_yoga_studio,publish,1114 White Street,Key West,FL,United States,33040,24.5546,-81.7902,http://www.yogatrail.com/sites/default/files/styles/profiles/public/studio/117770/shakti-yoga-key-west_0.jpg?itok=rmwomm9T,"<ul class=""aside""><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/arlene-haessler-77815""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/teacher/77815/arlene-haessler-1424176130.jpg?itok=sQ0KdGSR"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/arlene-haessler-77815"">Arlene Haessler</a></strong> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/celine-peccatte-117750""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/teacher/117750/celine-peccatte.jpg?itok=P9dXNsCM"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/celine-peccatte-117750"">celine peccatte</a></strong><div class=""stars""><span class=""average"" style=""width: 100%;"">Average: 5.0</span><span class=""all-stars""> of 5 stars</span></div><p class=""count""><strong>2</strong> <a href=""/teacher/celine-peccatte-117750/reviews"">Reviews</a></p> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/marlene-koenig-153394""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/teacher/153394/marlene-koenig.jpg?itok=1oNFwF82"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/marlene-koenig-153394"">Marlene Koenig</a></strong> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/tara-mccabe-550040""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/teacher/550040/tara-mccabe.jpg?itok=gJGZV7Qd"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/tara-mccabe-550040"">Tara McCabe</a></strong> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/sofia-artola-577432""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/avatars/teachers_4.jpg?itok=ECrSa7cI"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/sofia-artola-577432"">Sofia Artola</a></strong> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/kalyani-jennifer-tobin-84860""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/avatars/teachers_1.jpg?itok=DJUCQPPQ"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/kalyani-jennifer-tobin-84860"">Kalyani Jennifer Tobin</a></strong> </div> </li></ul>"
,Yoga Earth,1,The aim of all Yoga practice is to achieve truth wherein the individual soul identifies itself with a higher consciousness. As the mind develops the veil covering the soul becomes thinner and the soul realizes its identification with a Higher Being. This is the aim of all Yoga. Yoga Earth Studio acknowledges this evolution where there is no duality no subject or object where the knower the knowledge and the known are fused into one. Through this knowledge....peace strength and well-being are brought about.,Flow,,gd_yoga_studio,publish,7400 No. Federal Highway,Boca Raton,FL,United States,33468,26.92,-80.1,http://www.yogatrail.com/sites/default/files/styles/profiles/public/studio/75803/yoga-earth.jpg?itok=3sR0JQYT,"<ul class=""aside""><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/mary-rosi-111128""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/teacher/111128/mary-rosi.jpg?itok=X-YJe0u3"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/mary-rosi-111128"">Mary Rosi</a></strong> </div> </li></ul>"
,Skanda Yoga Studio,1,"Skanda Yoga is an emerging style of yoga that embraces techniques from many traditions. It is a breath-inspired alignment-based Power, Vinyasa, style that sets a physical and spiritual intention based on the daily oracle of the Maya calendar systems. The Warrior Spirit is invoked for a challenging inspiring and transformational practice. Each class is a unique exploration of asana that refines all aspects of our being.",,,gd_yoga_studio,publish,1800 SW 1st Ave # 102,Miami,FL,United States,33129,25.7580525423729,-80.1988016949153,http://www.yogatrail.com/sites/default/files/styles/profiles/public/studio/73346/skanda-yoga-studio.jpg?itok=cSU_uX_n,"<ul class=""aside""><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/valentina-stephans-160881""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/teacher/160881/valentina-stephans.jpg?itok=HNimaQQg"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/valentina-stephans-160881"">Valentina Stephans</a></strong> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/ken-von-roenn-iii-161024""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/Member/443042/ken-von-roenn-iii.jpg?itok=Unow-48X"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/ken-von-roenn-iii-161024"">KEN VON ROENN III</a></strong> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/ewa-josefsson-935666""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/teacher/935666/ewa-josefsson-1424483224.jpg?itok=C6ptIdwb"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/ewa-josefsson-935666"">Ewa Josefsson</a></strong><div class=""stars""><span class=""average"" style=""width: 100%;"">Average: 5.0</span><span class=""all-stars""> of 5 stars</span></div><p class=""count""><strong>11</strong> <a href=""/teacher/ewa-josefsson-935666/reviews"">Reviews</a></p> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/tania-castellanos-162790""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/avatars/teachers_4.jpg?itok=ECrSa7cI"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/tania-castellanos-162790"">Tania Castellanos</a></strong> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/lina-vallejo-161028""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/avatars/teachers_1.jpg?itok=DJUCQPPQ"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/lina-vallejo-161028"">Lina Vallejo</a></strong> </div> </li></ul>"
,White Orchid Yoga,1,"White Orchid was created to offer an environment in which to explore the world of yoga and to encourage the inner journey of self-discovery that inevitably results. All levels of experience are offered allowing students to both establish and develop a practice unique to each person. We all have something to heal… Ashtanga, is a healing practice. That’s why in honor of this beautifully powerful tradition and in honor of my son Nicholas who lives on within me White Orchid was opened. I offer this venue as a place of healing.","Ashtanga, Corporate, Flow, Gentle, Meditation, Mysore Power, Restorative, Vinyasa, Yin",,gd_yoga_studio,publish,907 S. Fort Harrison Ave.,Clearwater,FL,United States,33756,27.9563448979592,-82.7997,http://www.yogatrail.com/sites/default/files/styles/profiles/public/studio/71550/white-orchid-yoga.jpg?itok=TLd3mLXa,"<ul class=""aside""><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/constance-pappas-97843""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/avatars/teachers_1.jpg?itok=DJUCQPPQ"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/constance-pappas-97843"">Constance Pappas</a></strong> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/calley-masson-97845""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/avatars/teachers_3.jpg?itok=aHLFnVQN"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/calley-masson-97845"">Calley Masson</a></strong> </div> </li></ul>"
,YOGA SOL,1,Yoga Sol of Delray Beach - an Iyengar Yoga Studio offers therapeutic yoga classes convenient to Delray Beach Boca Raton Boynton Beach and Palm Beach.,"Gentle, Hatha, Iyengar Meditation, Restorative, Senior",,gd_yoga_studio,publish,215 NE 22nd St,Delray Beach,FL,United States,33444,26.4859,-80.0701692307692,http://www.yogatrail.com/sites/default/files/styles/profiles/public/studio/75916/yoga-sol.jpg?itok=zSY6J_7l,"<ul class=""aside""><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/kim-hough-85462""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/teacher/85462/kim-hough-1420895313.jpg?itok=OpBb89aU"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/kim-hough-85462"">Kim Hough</a></strong> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/joanne-boccassini-80851""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/avatars/teachers_4.jpg?itok=ECrSa7cI"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/joanne-boccassini-80851"">Joanne Boccassini</a></strong> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/stephanie-streff-114169""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/avatars/teachers_3.jpg?itok=aHLFnVQN"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/stephanie-streff-114169"">Stephanie Streff</a></strong> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/colleen-gallagher-408458""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/avatars/teachers_1.jpg?itok=DJUCQPPQ"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/colleen-gallagher-408458"">Colleen Gallagher</a></strong> </div> </li></ul>"
,Zenerations of Boca,1,"Zenerations of Boca invites you to visit our serene and intimate environment to nurture your mind body and soul. We are a Family, health and wellness boutique providing and promoting healthier living longevity and reduced stress through yoga Meditation, Massage, therapy facials adult and Children's, classes. We emPower, individuals to transform the quality of their lives through achieving a permanent state of peace bliss and happiness.","Family, Kundalini, Meditation, Mom & Baby, Prenatal, Restorative, Vinyasa, Yin",,gd_yoga_studio,publish,2499 Glades Rd,Boca Raton,FL,United States,33431,26.3684,-80.1309,http://www.yogatrail.com/sites/default/files/styles/profiles/public/studio/344966/zenerations-of-boca.png?itok=Utbpau8J,"<ul class=""aside""><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/brittany-gadt-77656""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/teacher/77656/brittany-gadt-1431397244.jpg?itok=Dhe6DLzO"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/brittany-gadt-77656"">Brittany Gadt</a></strong> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/nina-rabiefarr-88910""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/teacher/88910/nina-rabiefarr.jpg?itok=AABg_DRv"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/nina-rabiefarr-88910"">Nina Rabiefarr</a></strong> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/prema-jen-posner-331699""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/teacher/331699/prema-jen-posner.jpg?itok=2ZZpx571"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/prema-jen-posner-331699"">Prema Jen Posner</a></strong><div class=""stars""><span class=""average"" style=""width: 100%;"">Average: 5.0</span><span class=""all-stars""> of 5 stars</span></div><p class=""count""><strong>5</strong> <a href=""/teacher/prema-jen-posner-331699/reviews"">Reviews</a></p> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/ruth-morrow-340792""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/teacher/340792/ruth-morrow.jpg?itok=qUI3bD_i"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/ruth-morrow-340792"">Ruth Morrow</a></strong> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/vishali-varga-577353""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/teacher/577353/vishali-varga.jpg?itok=xMIW89dU"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/vishali-varga-577353"">Vishali Varga</a></strong> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/melanie-haraldson-1178253""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/teacher/1178253/melanie-haraldson-1427464980.jpg?itok=JsBaBDFH"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/melanie-haraldson-1178253"">Melanie Haraldson</a></strong> </div> </li></ul>"
,Parasutra Yoga Studio,1,With deep devotion and love Parasutra Yoga Studio is dedicated to the recognition of the truth of all beings. Parasutra Yoga Studio is an oasis on the island of Palm Beach. We are delighted to serve a growing community of students in West Palm Beach and the South Florida area. Devotion to the path of yoga is devotion to individual and universal freedom. Yoga asks you to look more and more deeply and subtly into your own experience and come to know a life of delight wonder and astonishment.,"Flow, Gentle, Hatha, Meditation, Restorative, Vinyasa, Yin",,gd_yoga_studio,publish,234 S County Rd,Palm Beach,FL,United States,33480,26.7071583823954,-80.0367246565654,http://www.yogatrail.com/sites/default/files/styles/profiles/public/studio/100810/parasutra-yoga-studio.jpg?itok=5jeOdvtM,"<ul class=""aside""><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/connie-beaudoin-119680""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/avatars/teachers_2.jpg?itok=WGpQ44ZP"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/connie-beaudoin-119680"">Connie Beaudoin</a></strong> </div> </li></ul>"
,Karma Yoga,1,"At Karma Yoga we're all about peace love and sweat! As a multi-specialty studio we have everything from Yin,Yoga to Hot, Yoga. We are intimate and family-run with loving and experienced teachers. Karma Yoga is peacefully overlooking the fountain at River Hills in Valrico Florida. We are approved by the Yoga Alliance as a Registered Yoga School.","Ashtanga, Children's, Core Strength, Flow, Gentle, Hatha, Hot, Meditation, Power, Restorative, Senior, Vinyasa, Yin",,gd_yoga_studio,publish,4363 Lynx Paw Trail,Lithia,FL,United States,33547,27.7899,-82.1358,http://www.yogatrail.com/sites/default/files/styles/profiles/public/studio/118933/karma-yoga.jpg?itok=cMTpXHoj,"<ul class=""aside""><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/jean-martin-84312""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/teacher/84312/jean-martin-1431294917.jpg?itok=zZ3nIONc"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/jean-martin-84312"">Jean Martin</a></strong> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/leshan-a-barrios-86187""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/teacher/86187/leshan-a-barrios.jpg?itok=OkYtqtFu"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/leshan-a-barrios-86187"">LeShan A Barrios</a></strong><div class=""stars""><span class=""average"" style=""width: 90%;"">Average: 4.8</span><span class=""all-stars""> of 5 stars</span></div><p class=""count""><strong>8</strong> <a href=""/teacher/leshan-a-barrios-86187/reviews"">Reviews</a></p> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/megan-smith-118932""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/teacher/118932/megan-smith.jpg?itok=qlbzX2DN"" width=""64"" height=""64"" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/megan-smith-118932"">Megan Smith</a></strong> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/carolyn-norris-119025""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/teacher/119025/carolyn-norris.jpg?itok=EhY7Tgz4"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/carolyn-norris-119025"">CAROLYN NORRIS</a></strong><div class=""stars""><span class=""average"" style=""width: 100%;"">Average: 5.0</span><span class=""all-stars""> of 5 stars</span></div><p class=""count""><strong>3</strong> <a href=""/teacher/carolyn-norris-119025/reviews"">Reviews</a></p> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/lorena-saavedra-207462""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/teacher/207462/lorena-saavedra.png?itok=0a7T9GSx"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/lorena-saavedra-207462"">Lorena Saavedra</a></strong> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/tina-tidwell-92496""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/avatars/teachers_4.jpg?itok=ECrSa7cI"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/tina-tidwell-92496"">Tina Tidwell</a></strong> </div> </li></ul>"
,Island Yoga Space,1,Island Yoga Space located at the north end of beautiful Anna Maria Island Florida offers daily classes and creative workshops in a unique tranquil setting. Our upstairs studio directly across from the white sands and turquoise waters of the Gulf of Mexico is the Island’s original and premier location for practicing yoga.,"Alignment, Flow, Gentle, Hatha, Restorative, Vinyasa",,gd_yoga_studio,publish,9805 Gulf Drive,Anna Maria,FL,United States,34216,27.5254831548575,-82.7343123237898,http://www.yogatrail.com/sites/default/files/styles/profiles/public/studio/72783/island-yoga-space.jpeg?itok=Sgtyzx0e,"<ul class=""aside""><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/cindy-phillips-328320""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/avatars/teachers_3.jpg?itok=aHLFnVQN"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/cindy-phillips-328320"">Cindy Phillips</a></strong> </div> </li></ul>"
,Crossfit Out of the Box & Aspire Yoga,1,"Please join us for Vinyasa, Flow, class!! If you peek through our window don't be fooled. We have a private yoga studio located behind out CrossFit gym! It is warm quiet and peaceful.","Flow, Power, Vinyasa",,gd_yoga_studio,publish,2750 E Atlantic Blvd,Pompano Beach,FL,United States,33062,26.2317,-80.0956816326531,http://www.yogatrail.com/sites/default/files/styles/profiles/public/studio/1573226/crossfit-out-of-the-box-aspire-yoga-1436731377.jpg?itok=bw4ZlCm-,"<ul class=""aside""><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/bill-bennett-1573060""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/teacher/1573060/bill-bennett-1432327951.jpg?itok=0A8W-FyE"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/bill-bennett-1573060"">Bill Bennett</a></strong> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/sarah-holden-1934444""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/avatars/teachers_2.jpg?itok=WGpQ44ZP"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/sarah-holden-1934444"">Sarah Holden</a></strong> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/michele-anello-1618688""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/avatars/teachers_2.jpg?itok=WGpQ44ZP"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/michele-anello-1618688"">Michele Anello</a></strong><div class=""stars""><span class=""average"" style=""width: 100%;"">Average: 5.0</span><span class=""all-stars""> of 5 stars</span></div><p class=""count""><strong>1</strong> <a href=""/teacher/michele-anello-1618688/reviews"">Review</a></p> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/wilma-lubbock-1934506""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/avatars/teachers_3.jpg?itok=aHLFnVQN"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/wilma-lubbock-1934506"">Wilma Lubbock</a></strong> </div> </li></ul>"
